CountyFIPS,NatWalkInd,DIABETES_AdjPrev,OBESITY_AdjPrev,HIGHCHOL_AdjPrev,CHD_AdjPrev,BPHIGH_AdjPrev
08099,8.369047618642856,10.4,31.6,28.3,6.3,27.1
08101,7.235074626873134,10.0,31.4,28.7,5.6,27.6
08103,6.690476190571429,8.0,27.9,27.7,5.5,26.2
08105,6.3999999999,8.8,26.4,28.2,5.2,24.4
08107,7.0,6.6,24.4,28.2,4.8,22.5
08109,6.083333333833333,10.2,30.3,27.8,6.5,26.5
08111,7.0,8.1,27.4,27.4,5.6,25.1
08113,7.444444443999999,7.0,24.7,27.0,5.2,24.5
08115,6.444444444666668,9.3,29.8,27.6,6.5,26.7
08117,7.113636363681818,7.1,22.7,26.2,5.2,22.4
08119,6.311111110933334,7.0,26.9,26.4,5.2,22.5
08121,5.3666666668000005,8.1,26.8,26.7,5.8,27.3
08123,7.323809523862857,8.5,31.2,27.8,5.3,25.1
08125,5.740740740666666,8.9,27.9,27.8,6.1,26.4
10001,8.282407407180555,11.1,39.3,30.9,5.5,32.8
10003,11.746829710440219,11.6,37.6,31.3,5.4,31.5
10005,8.187810945067163,9.9,38.6,31.3,5.9,31.1
11001,14.471481481526666,8.7,25.1,29.7,4.7,29.8
12001,10.27634408576129,10.9,33.0,,6.2,
12003,5.68055555525,10.6,37.6,,6.7,
12005,10.214067278321101,9.8,35.3,,6.4,
12007,5.407407407555556,12.1,38.8,,7.5,
12009,10.044025157119497,9.6,32.9,,5.6,
12011,12.445744680714894,12.0,31.8,,6.4,
12013,4.916666666899999,11.9,43.6,,8.0,
12015,7.243827160314815,9.7,34.4,,6.5,
12017,6.865530302965909,9.7,34.5,,6.6,
12019,7.109053498061729,9.9,35.6,,5.9,
12021,7.229706390305699,9.7,27.4,,6.0,
12023,6.491666666575,11.8,38.3,,7.6,
12027,6.012820512884615,14.7,44.2,,8.7,
12029,4.038461538461538,12.2,43.6,,8.0,
12031,11.408843537422449,11.9,33.1,,6.3,
12033,10.146596858712043,10.9,32.6,,6.8,
12035,6.573717948750001,9.7,33.4,,6.3,
12037,6.089743590230769,10.9,37.6,,7.4,
12039,4.619791666625,13.8,44.3,,7.0,
